Title;Answers;Confidentiality;Product Type;Description
"A customer has already an AMC300 with one axis and wants to upgrade the controller for 3-axis operation - what do I have to offer?	";"In this case the dual- and the tri-channel upgrade needs to be quoted as the tri-channel upgrade only upgrades a 2 axis or 5 axis controller to a 3 or 6 axis controller. Also, if needed an additional RT cable AMCC/1/RES/5-pin/2.0/RT (1020988) needs to quoted. The RT cable is NOT included within the upgrade. The upgrade is only a activation code. If a ""new"" customer requests a 2 or 3 axis AMC300 please directly quote the suitable controller (with it the RT cable is included).
";Public;AMC300;
"Which Testing Laboratories has certified the AMC300?	";"Based on the CB scheme (IEC and IECEE standard) the company ""Eurofins Electric & Electronic Product Testing AG"" tested and certified the AMC300 for:

CE conformity
UL readiness
CAN/CSA readiness
Find here the CB Scheme testing certificate

Internal information: Test results UL and CAN/CSA readiness
and CB Scheme Test Report (strictly internal) ";Public;AMC300;
"What is the input voltage and current of the AMC300?	";"Input Voltage: 100 - 240 AC volts
Input current: 2.2 amps";Public;AMC300;
Power Consumption AMC100 If the AMC100 is connected to a 12 V voltage source, what is the maximal available amperage that is needed in order to move a positioner?;"Generally speaking you will need 3 A.
Attention: With only 12 V it might not be possible to use the full power or operate several axes at once. If in doubt, contact PM or AppDev.";Public;"AMC110;#AMC100";
Do I need further equipment / electronics in order to read in the IO-output and to process it on my PC?;"Yes, you will need a DAQ-Card for that. You can find examples in the following document: 2023_Recommendations DAQ cards.pdf

The customer is responsible for the implementation.";Public;"AMC100;#AMC110";
Do we have a grounding overview for all AMC/NUM verisons?;"Yes, but strictly internal!

20220719_AMC110_GND_Schema.pdf";Internal;"AMC110;#AMC100";
Which Testing Laboratories have certified the AMC100/2HE?;"Together with the AMC300 and based on the CB scheme (IEC and IECEE standard) the company ""Eurofins Electric & Electronic Product Testing AG"" tested and certified the AMC100/2HE for:

CE conformity
UL readiness*
CAN/CSA readiness
Find here the (AMC100/2HE is listed as AMC100V2) CB Scheme testing certificate

All listed controllers were also tested for UL and CAN/CSA confirmity: First Page of Test IEC Test report

* Meaning “UL-Readiness”: The product is not officially “UL certified”, as that certification requires frequent/annual audits of the production, but all components used and the laboratory testing (based on CB-Scheme) fulfill the UL conformity. So in case you need official UL Certification the AMC will not cause any problems during an audit.

Internal information (whole report): Test results UL and CAN/CSA readiness ";Public;"AMC100;#AMC110";
"How much space is needed on the back for the cabling?	";"AMC110 & AMC100/2HE: 120mm (considering connector size and bending radius)
";Public;"AMC100;#AMC110";
"Is there an EPICS integration for the AMC100?	";There is no integration provided by attocube, however, this integration provided by a customer can be used as a guideline: https://github.com/epics-motor/motorAttocube/pull/2 ;Public;"AMC100;#AMC110";
Is a 22.4VDC power supply for the AMC100/2HE enough to run EC* positioners?;"Yes, 22.4V are enough, however, the current consumption will be slightly higher, as the power input of the AMC remains the same.
";Public;"AMC100;#AMC110";
"Rückwärtskompatibilität bzgl. Positionierer (old Info)	";"Die AMC-Serie verfügt über einen Schutz-Mechanismus, welcher ein Aktivieren einer Achse nicht erlaubt, sollte kein Positionierer an der entsprechenden Achse angesteckt sein. Dieses wird über eine Brück und einen Pin (POS-CON) erkannt. In einem nicht genauer bekannten Zeitraum wurden jedoch Positionierer OHNE diese Brücke gefertigt! Sollte ein Kunde eine AMC kaufen ohne Positionierer sondern nur als Ersatz für ein bisheriges Gerät bitte mit RND Rücksprache halten!

";Internal;"AMC100;#AMC110";
"Is there a Step file of the positioner connector?	";"EC* Series:

(U)HV: 15 pin Sub-D connector female.step";Public;AMCC Connection Cables;
"Thermal conductance of the ATC100?	";"approximated values @5K

Length L [mm]    Foils / sheets Braids
35                     ~ 45 mW/K   ~ 19 mW/K
60                     ~ 31 mW/K         ~ 12 mW/K
70                     ~ 26 mW/K         ~ 10 mW/K
80                     ~ 20 mW/K         ~ 8 mW/K
100                     ~ 18 mW/K         ~ 5 mW/K";Public;ATC;
Is it possible to offer a different length besides the std. lengths?;"Yes. But the std. length should always be preferred in terms of a quicker delivery time, less effort and lower price. A non standard length is mostly done with braids. Braids feature a lower thermal conductivity. Please consider this. Use the ATC selection and composition tool v1.2.xlsx
 to check wether a length is appropriate or not for a specific stack.";Public;ATC;
"Is it possible to offer another sensor type?	";Yes - as long as the desired sensor is available as SD package it fits into the top plate of the ATC. You can check different options on the lakeshore webpage for example. Other packages do not fit into the whole and therefore need to be mounted on top of the top plate with a adapter or similar (mostly done but customer on his own).;Public;ATC;
"Does the ATC feature a serial number?	";All new ordered cernox ATCs have a double heater as well as a serial number on the mechanical part. The serial number of the ATC is important to link it with the serial number of the sensor. Both serial numbers will be on the USB which is sent out together with the ATC. Only the ATCs with a sensor as well as the customized ATCs will have a serial number.;Public;ATC;
"What happened to the ATCs with Si sensor?	";"We decided to stop the sales of all ATCs with a silicon diode. We – and most of our customers – don’t see a benefit in those ATCs. The uncalibrated Si diode is “useless” and the calibrated Si diode is only 100€ than the cernox sensor. Moreover, the cernox sensor is more accurate as well as suitable for magnetic fields (looking at our future (magnet option) we see a higher benefit in those sensors). Furthermore, everyone should be aware that more articles lead to more costs (e.g. storage and maintenance costs) and just overcomplicate a few things and processes.
";Public;ATC;
"Question on thermal conductance in general and in regards to a atto3DR: How good (or poor) is the thermal conductivity through the attocube stack? Does it differ much between Ti & CuBe?	";"In vacum there is basically no thermalisation of the sample holder through the stack. The metallic pieces of the positioners are separated by the piezo elements which have very poor thermal conductance. For this reason an ATC is needed. Like we do in the attodry 800. Depending on what the customer wants to measure, sometimes cooling well the sample holder is not so relevant, provided the electrical wires going to the sample are well thermalised. Still, better to use an ATC. The material of the positioners makes a difference more on the general stability of the stack due to thermal contraction and the time needed to reach base T, than to which temperature the sample will reach. CuBe is better than Ti because Ti enters a superconducting phase at mK temperatures, thus does not conduct well heat. CuBe stays a good heat conductor, still with the caveat above. When customer don’t want to buy CuBe and don’t care about Ti becoming superconducting (even though little milliTesla of magnetic field are enough to break this) , we build Ti-posis in DR without problems, eventually using some extra thermalisation foils
";Semi-internal;ATC;
"How much does the ATC100 improve the sample base temperature? (In Final state, on average, how much difference could be there between Cold Plate & Sample?	";"The ATC100’s property is its thermal conductance at about 4K which is given in the specsheet. In a configuration like into the 800 we usually see a difference of ca 100-200mK between cryostat’s cold plate and ATC top plate. This is configuration dependent and should not be generalised
";Semi-internal;ATC;
"Are we offering mK ATCs?	";"
We can. As per November 2024 we can offer a mK suitable ATC as CUST. It costs the same as the ATC100 Cer. It has 100 top plate, 100 bottom plate 80 mm length, our standard heater and a Physics Instruments RO-600 Class A sensor. Ask PM for details.


1029056 ATC100/RuO/80/mKArticle 1011315 in Steps
Model RO-600 (1KΩ) | Scientific Instruments";Public;ATC;
"Is the cabling of AN*(U)HV positioners UL certified?	";"Yes. The wire is UL certified. See info from supplier Detakta below.
Der Polyimid Wickeldraht ist unter der UL File Nr. E32638 mit der Material Designation ""Allex"" gelistet.
Dieser Eintrag ist online einsehbar (Auszug nachstehend)";Semi-internal;AN* Series Cabling;
"Highest tested VAC compatibility of AN* positioners?	";"An external company tested the AN* positioners for pressures down to 5e-11mBar in the year 2004 and thereby verified the performance. Since then no further tests at such low pressures were carried out, but several customers utilize the positioners at UHV pressure without problems.
";Public;AN* Series;
"At what temperature does CuBe start superconducting? What would be critical Magnetic field to prevent that?	";"We are not aware that CuBe has a superconducting phase at all. So it remains normal conducting even at almost 0 T. (2017)
";Semi-internal;AN* Series;
Do you have information about the thermal conductivity of your CuBe and Titanium products? ;"How do they compare at low (4K) and ultra-low tmeperature (e.g. 12 mK)? Is the CuBe option going to transport heat more efficiently towards the floor of the sample space?

ANS:We are using titanium grade 2 (unalloyed titanium), which is supposed to have about the same thermal conductivity as CuBe.

As titanium gets superconducting at T < 400 mK its thermal conductivity is much lower at mK temperature than that of CuBe. We therefore advise customers working at these temperatures to go fur CuBe.

At T < 400 mK heat transport in titanium is strongly suppressed due to its superconducting phase. We therefore strongly recommend CuBe as otherwise it may take a while to cool down a set of positioners. Furthermore you will get eddy currents when applying small magnetic fields so you won't get a clean magnetic measurement around 0 T B-field.

At T > 400 mK there is probably little difference between the two materials. Please keep in mind that heat transport is also blocked by the ceramic axes used in attocubes Premium Line positioners. Just because the body is conducting well doesn't mean the upper part of the positioner is at base temperature.";Semi-internal;AN* Series;"Original Question: 
The heat capacity at room temp is a factor of 2 higher and the thermal conductivity a factor of 4 higher for Cu-Be than grade 5 titanium. Do you know how they compare at low (4K) and ultra-low temperature like 12mK?
Is the Cu-Be option going to transport heat more efficiently towards the floor of the sample space?

Original Ans: 
Answer SF (27.04.2017):
We are using titanium grade 2 which is unalloyed titanium. This NIST-publication mentions titanium grade 5 which is alloyed with aluminum and vanadium:
http://cryogenics.nist.gov/Papers/Cryo Materials.pdf
Thermal conductivity of Cube is significantly higher even though titanium (grade 5) has only be measured down to 20K. Grade 2 titanium is supposed to have more than twice the thermal conductivity than grade 5 (Wikipedia), so our titanium and our Cube should have about the same thermal conductivity.
As titanium gets superconducting at T<400mK its thermal conductivity is much lower at mk temperatre than that of Cube. We therefore advise customers working at these temperatures to go for Cube.
I can't find any data regarding the specific heat of Cube at cryogenic temperatures but your data may well be true also for 4K.
At T<400mK heat transport in titanium is strongly suppressed due to its superconducting phase. We therefore strongly recommend Cube as it otherwise may take a while to cool down a set of positioners. Furthermore you will get eddy currents when applying small magnetic fields so you won't get a clean magnetic measurement around OT B-field. At T>400mK there's probably little difference between the two materials.
Please keep in mind that heat transport is also blocked by the ceramic axes used in attocubes Premium Line positioners! Just because the body is conducting well doesn't mean the upper part of the positioner is at base temperature."
"How good (or poor) is the thermal conductivity through the attocube stack? Does it differ much between Ti & CuBe?	";"In vacuum there is basically no thermalisation of the sample holder through the stack. The metallic pieces of the positioners are separated by the piezo elements which have very poo thermal conductivity. For this reason an ATC is needed. Like we do in the attodry 800. Depending on what the customer wants to measure, sometimes cooling well the sample holder is not so relevant, provided the electrical wires going to the sample are well thermalised. Still, better to use an ATC.
The material of the positioners makes a difference more on the general stability of the stack due to thermal contraction and the time needed to reach base T, than to which temperature the sample will reach.

CuBe is better than Ti because Ti enters a superconducting phase at mK temperatures, thus does not conduct well heat. CuBe stays a good heat conductor, still with the caveat above. When customer don’t want to buy CuBe and don’t care about Ti becoming superconducting (even though little milliTesla of magnetic field are enough to break this) , we build Ti-posis in DR without problems, eventually using some extra thermalisation foils";Semi-internal;AN* Series;
Difference between RES and RES+?;"Comparison of RES and RES+ Resistive Materials
Common Features:

Both RES and RES+ use a wiper and a track with resistive material on a ceramic carrier.
The wiper design and material are the same for both.
The carrier material is ceramic in both cases.

RES (Standard Resistive Material)

Material Composition (epoxy-based with embedded particles):
Carbon powder: 29%
Vinyl resin: 2.5%
Phenolic resin: 49.9%
Butyl carbitol: 18.6%
Functionality:
Particles help support the epoxy and prevent the wiper from caving in.
Acts like a semiconductor at ultra-low temperatures (ULT). Resistance increases significantly below 10 K and becomes extremely high at 1–2 K.
Nonlinearity: Approximately 1–2 µm
Heat Dissipation:
DC: ~80 µW
AC: ~4 µW

RES+ (Enhanced Resistive Material)

Material Composition: Chromium-nickel thin film applied via PVD (Physical Vapor Deposition)
Design: Metal wiper on a metal track
Functionality:
Behaves like a normal metal. Resistance decreases as temperature drops and remains nearly constant between 0 and 4 K.
Metal-on-metal contact causes sticking effects, leading to noticeable steps or jumps in movement.
Nonlinearity: Up to ~20 µm (higher noise)
Heat Dissipation:
DC: ~800 µW
AC: ~135 µW";Semi-internal;AN* Series;
"Is it possible to offer any std. /RES postioner equipped with a RES+ sensor?	";"In most cases yes. Please see the following page (discussion/entwurf in most cases): List of RES+ std articles
";Public;AN* Series;https://acs-intranet.wittag.net/content/053aa1f0-81fb-4062-9c96-15c3f409e30a?path=Processes%2FListOfRESStdArticles&title=list-of-res-std-articles
"Is the travel range dependent on temperature or pressure?	";"For the ANP positioners, rotators and goniometers it is not dependent on that. The scan range of the ANS scanners is however limited at lower temperatures (besides the ANSx150 which has in fact a higher scan range at lower temperatures).
";Public;AN* Series;
"Is the maximum load dependent on temperature or pressure?	";"Yes, at lower temperatures as well as in vacuum conditions the maximum load capacity is lowered (compared to ambient conditions).
";Public;AN* Series;
"What is the difference between the /HV and /UHV positioners?	";"For the /UHV positioners special UHV compatible (i.e. not outgasing) materials are used. Moreover, a test in a baked out UHV environment is performed for all UHV positioners to guarantee full functionality usually down to 5 x 10^-11 mbar. In general, since switching to PEEK connectors for all AN* series positioners/scanners there is no ""real"" difference in regards to the materials between /HV and /UHV.";Internal;AN* Series;
What is the difference between /LT and /LT/HV ?;"For older stages before March 2021 when switching to PEEK connectors at all AN* POS and SCN the main differences between the /LT and the /LT/HV positioners are different materials in the wiring and connectors, different materials used in the lubrication, glue, different clamping forces on the guiding rod and additional testing for the LT/HV versions.

We specify the standard low temperature (/LT) version to operate in a pressure range from 1E-4 mbar to ambient pressure, whereas the low temperature/high vacuum (/LT/HV) extends this range down to 1E-8mbar. As the general applicability, we recommend customers to use the standard /LT version if they operate at a pressure higher than 1E-4 mbar before cooling down, even though the cryogenic pressure will be significantly smaller (since outgassing is not an issue at low temperature, the /LT positioner will not worsen the overall pressure). If customers want to achieve high vacuum conditions already at room temperature prior to cool down, then the /LT/HV version is more appropriate.";Semi-internal;AN* Series;
"What’s the maximum pressure and magnetic field ratings?	";attocube /UHV-positioners are specified down to 5 x 10^-11 mbar and the maximum tested magnetic field is currently 39 T (both on customers side).;Public;AN* Series;
What is the temperature range for the positioners? Are they bakeable?;There are different attocube ANP positioners specified from the mK range up to 373 K. All UHV positioners can be baked out up to 423 K.;Public;AN* Series;
"What is meant with ""open loop"" and ""closed loop""?";"The positioners without an encoder are driven in ""open loop"" - those positioners can only be driven forward or backward without an actual readout of the position. Whereas the positioners with an encoder are driven in ""closed loop"" mode, which means that a feedback loop is integrated into the control electronics and minimizes the difference between target position and actual position.";Public;AN* Series;"Further explanation: 
The closed loop positioners I mentioned in the cost estimate have a resistive encoder which allows us to track the displacement of the positioner independent of the number of steps it has taken. This allows you to translate your sample a set distance with a certain resolution. For example, with the /RES encoders I mentioned in a previous email, you can instruct the positioner to translate 200 micrometers +/- 200 nm. The 1-2 micrometer repeatability means that if you translate the x- positioner 500 micrometers in positive x-direction, and then 500 micrometers in the negative x-direction, you will return to the same position in real space within 1-2 micrometers.

An open loop positioner has no encoder, so all displacements are made in terms of a number of steps of the piezo, and then the actual distance the positioner translates then depends on the step size. A typical minimum step size at 4K is 10 nm, but the step size can vary. The step size does mainly depend on the applied voltage: the step size increases with the amplitude of the saw-tooth signal, but it is not an easy relation to define. The step size is not always uniform and depends on the extension of the positioner (where the positioner is in respect to the end of the movement range). Also, the step size differs for the forward and backward motions due to the properties of the piezo. There are additional environment/setup factors that determine the width of a step (e.g. vacuum, temperature, humidity, load conditions, gravity and orientation of the positioners, etc.). This all makes translating a set distance with an open loop positioner tricky."
"What's the meaning of ""fine positioning mode""?";"The fine positioning mode is the ""scan""-mode of our positioners. For that, a DC voltage can be applied to obtain sub-step-size resolution. Please note, the ANGs due not feature such a scan mode.";Public;AN* Series;
Details about the step size?;"
The step size (in the coarse-positioning mode) does mainly depend on the applied voltage: the step size increases with the amplitude of the saw-tooth signal, but it is not an easy relation to define. The step size is not always uniform, this depends on the extension of the positioner (where the positioner is in respect to the end of the movement range). Also, the step size differs for the forward and backward motions due to the properties of the piezo. There are additional environment/setup factors that determine the width of a step (e.g. vacuum, temperature, humidity, load conditions, gravity and orientation of the positioners, etc.).";Public;AN* Series;"Further Information
Unfortunately, we don’t have fixed values which relate the applied voltage with the step size; as the step size depends not only on the voltage and temperature, but also on the specific setup, i.e. applied load, mounting orientation, pressure, etc. It can also vary slightly from one positioner to another since the clamping force we set for each positioner might vary slightly as well.

One can estimate the step size by measuring the time (e.g., with a stop watch) it takes for the positioner to travel the entire range (e.g., 2.5mm for ANPz51), from this you have the travel speed, and the travel speed divided by frequency is the average step size.

Unfortunately, we cannot provide more precise information about this, but the friction based working principle simply doesn’t allow us to be more specific."
What does step repeatability mean?;"The repeatability of step size (in open 0loop mode) means that for a given voltage (and therefore given step size) each individual step may vary in size of up to 5%.

";Public;AN* Series;
How is the behaviour of the /RES encoder at mK temperatures?;"
Please note that we have observed that the resistive encoder shows a temperature dependency at ultra-low temperatures (mK range). At this point one solution is to use the stages at mK in a way that individual steps and DC offset (if needed) are applied, and then you would have to wait until the temperature and hence the position readout stabilizes again. Another possible immediate solution would be to position the stages at more elevated temperatures (e.g. at 4K), ground the stages and then cool down to mK temperatures. The reading of the encoder will still change due to the temperature dependency of the resistive sensor element, but if the controller is not trying to compensate for this “alleged” drift in position the stage will actually remain at the same position as positioned at 4K. For mK applications (or better all applications below 1 or 2 K) the /RES+ encoder is recommended.";Semi-internal;AN* Series;
Why is there an asymmetry in the forward / backward speed of the positioners?;An asymmetry in the forward/backward speed is typical for the slip-stick positioners, since there is an asymmetry in forward and backward step sizes which is typically on the order of 5%. This asymmetry will then also lead to a different speed of the positioner when moving forward/backward with the same voltage/frequency settings.;Public;AN* Series;
Difference between stepping and scanning?;Our stages offer two working different modes: 1) coarse-positioning: here we apply a saw tooth voltage to the piezo which results in slip-stick motion. At room temperature the typical minimum step size is about 50 nm. The step size can be increased by increasing the voltage. In this mode the positioners have a travel range of several mm (up to 50 mm for the ECS3080 for example). 2) fine-positioning: for this mode we apply a DC voltage which now simply expands the piezo. In this mode the range is limited, e.g. 3.5 µm for the ANPx101 @RT. Within this range you can get sub-nm resolution which is only limited by the noise of the electronics.;Public;AN* Series;
What is a piezo drift?;"Piezo drift is a composition of creep & thermal drift.
Thermal drift depends on the change of temperature. The thermal expansion coefficient for a piezo is in the order of 5E-6/K for 300 K and ~4E-3/K for cryogenic environments. Therefore, one can say that minimum changes (especially in ambient conditions) are negligible whereas the cooling down to cryogenic temperatures causes larger (but reproducible) changes in the position.

The respective creep specifications can be found in the spec sheets (e.g. ANSz100: creep = 0.5.. 0.8% per decade of time).";Public;AN* Series;
